# Playlist Version: v20260926041132
# Generated At: 2026-09-26 04:11:32

央视频道,#genre
CCTV-4中文国际,http://183.51.190.123:6633/rtp/239.77.1.166:5146
CCTV-4中文国际,http://183.237.95.108:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://183.51.190.123:6633/rtp/239.77.1.163:5146
CCTV-4中文国际,http://183.51.190.156:6633/rtp/239.77.0.78:5146
CCTV-4中文国际,http://120.196.235.42:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://112.92.129.95:9898/hls/21/index.m3u8
CCTV-4中文国际,http://120.238.94.82:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://183.62.8.58:50085/tsfile/live/faacts/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://14.145.143.181:14022/rtp/239.77.0.170:5146
CCTV-5体育,http://183.51.190.123:6633/rtp/239.77.0.176:5146
CCTV-5体育,http://183.51.190.156:6633/rtp/239.77.0.176:5146
CCTV-5体育,http://120.238.94.82:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://120.196.235.42:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://14.157.24.38:2345/rtp/239.77.0.34:5146
CCTV-5体育,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV-5体育,http://183.57.249.125:8183/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-5体育,http://120.198.95.220:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://183.51.190.123:6633/rtp/239.77.0.170:5146
CCTV-5体育,http://183.51.190.123:6633/rtp/239.77.1.8:5146
CCTV-5体育,http://113.90.154.189:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://183.51.190.123:6633/rtp/239.77.0.34:5146
CCTV-5体育,http://183.51.190.123:6633/rtp/239.77.1.77:5146
CCTV-5体育,http://183.51.190.156:6633/rtp/239.77.0.34:5146
CCTV-5体育,http://183.51.190.156:6633/rtp/239.77.0.170:5146
CCTV-5体育,http://118.248.155.220:8889/udp/239.76.246.155:1234
CCTV-5体育,http://112.92.129.95:9898/hls/22/index.m3u8
CCTV-6电影,rtmp://yftv-wshls.yzbtv.cn/live/11ee8
CCTV-6电影,http://183.62.8.58:50085/tsfile/live/faacts/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://113.90.154.189:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://14.145.143.181:14022/rtp/239.77.0.35:5146
CCTV-6电影,http://183.51.190.123:6633/rtp/239.77.0.171:5146
CCTV-6电影,http://183.236.43.98:4013/udp/239.77.0.171:5146
CCTV-6电影,http://183.57.249.125:8183/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://183.51.190.156:6633/rtp/239.77.0.35:5146
CCTV-6电影,http://183.51.190.123:6633/rtp/239.77.0.35:5146
CCTV-6电影,http://183.51.190.123:6633/rtp/239.77.1.9:5146
CCTV-6电影,http://118.248.155.220:8889/udp/239.76.246.156:1234
CCTV-6电影,http://112.92.129.95:9898/hls/24/index.m3u8
CCTV-6电影,http://120.238.94.82:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://183.237.95.108:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://218.13.170.98:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://120.198.84.146:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://120.198.95.220:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6电影,http://112.66.103.105:8888/rtp/239.253.64.246:5140
CCTV-6电影,http://120.198.95.220:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://124.228.160.112:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://183.51.190.156:6633/rtp/239.77.1.159:5146
CCTV-7国防军事,http://14.157.24.38:2345/rtp/239.77.0.36:5146
CCTV-7国防军事,http://113.90.154.189:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://120.198.95.220:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://183.62.8.58:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://183.236.43.98:4013/udp/239.77.0.138:5146
CCTV-7国防军事,http://183.51.190.123:6633/rtp/239.77.0.138:5146
CCTV-7国防军事,http://183.51.190.123:6633/rtp/239.77.0.36:5146
CCTV-7国防军事,http://183.51.190.123:6633/rtp/239.77.1.159:5146
CCTV-7国防军事,http://183.57.249.125:8183/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://183.51.190.156:6633/rtp/239.77.0.138:5146
CCTV-7国防军事,http://120.238.94.82:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://183.237.95.108:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://120.198.84.146:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://120.198.95.220:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7国防军事,http://112.66.103.105:8888/rtp/239.253.64.54:5140
CCTV-7国防军事,http://112.92.129.95:9898/hls/25/index.m3u8
CCTV-7国防军事,http://118.248.155.220:8889/udp/239.76.246.157:1234
CCTV-7国防军事,http://118.248.155.220:8889/udp/239.76.253.157:9000
CCTV-7国防军事,http://221.232.196.180:7777/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://14.157.24.38:2345/rtp/239.77.1.10:5146
CCTV-8电视剧,http://183.62.8.58:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://14.145.143.181:14022/rtp/239.77.0.172:5146
CCTV-8电视剧,http://14.145.143.181:14022/rtp/239.77.0.37:5146
CCTV-8电视剧,http://14.157.24.38:2345/rtp/239.77.0.172:5146
CCTV-8电视剧,http://183.236.43.98:4013/udp/239.77.0.172:5146
CCTV-8电视剧,http://183.51.190.156:6633/rtp/239.77.1.10:5146
CCTV-8电视剧,http://113.90.154.189:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://183.51.190.123:6633/rtp/239.77.0.172:5146
CCTV-8电视剧,http://183.51.190.156:6633/rtp/239.77.0.172:5146
CCTV-8电视剧,http://183.57.249.125:8183/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://14.157.24.38:2345/rtp/239.77.0.37:5146
CCTV-8电视剧,http://183.51.190.123:6633/rtp/239.77.0.37:5146
CCTV-8电视剧,http://120.238.94.82:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://183.51.190.123:6633/rtp/239.77.1.10:5146
CCTV-8电视剧,http://112.92.129.95:9898/hls/26/index.m3u8
CCTV-8电视剧,http://120.198.84.146:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://120.198.95.220:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://112.66.103.105:8888/rtp/239.253.64.247:5140
CCTV-8电视剧,http://118.248.155.220:8889/udp/239.76.246.158:1234
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=6b640dec5d3822ef3a97e35d06a17a63
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=a58368fe3d4c91eeff7c2463aaab0bf6
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=1b0b0676bd6cbba4d205141426a296ab
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=85ebfe1faa726fe6a775c9a7e08399b5
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=47af04d7e46c91d01c9058779ca16757
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=95256081644cb95f278aa18f234a9655
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=472c0041793ae40405131934d03e9ae9
CCTV-9纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=f5040cfa970116c92738766d85c659d2
CCTV-9纪录,http://183.62.8.58:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://183.236.43.98:4013/udp/239.77.0.135:5146
CCTV-9纪录,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-9纪录,http://113.90.154.189:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://14.145.143.181:14022/rtp/239.77.0.38:5146
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=6ecd2d4cc437d94ee01de59f640ab4a8
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=3a399279286560c3d79a18b2c0f85224
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=63b335ed8ab7e29ece993e8c14283f0e
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=882aa8e387953e1ae8d99295f41606b4
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=2b9ef61ac9976760e0256c1c15cfd34c
CCTV-9纪录,http://183.51.190.123:6633/rtp/239.77.0.135:5146
CCTV-9纪录,https://v4-702cae17a28d6e4f0c0002bba021d934.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=0960ccaf570978d7d32f433cbc349930
CCTV-10科教,http://183.51.190.123:6633/rtp/239.77.1.113:5146
CCTV-10科教,rtmp://yftv-wshls.yzbtv.cn/live/11ed8
CCTV-10科教,http://183.51.190.156:6633/rtp/239.77.0.134:5146
CCTV-10科教,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV-10科教,http://113.90.154.189:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://183.51.190.123:6633/rtp/239.77.0.134:5146
CCTV-10科教,http://183.57.249.125:8183/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://183.51.190.156:6633/rtp/239.77.0.39:5146
CCTV-10科教,http://116.77.33.98:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10科教,http://183.51.190.123:6633/rtp/239.77.0.39:5146
CCTV-10科教,http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://118.248.155.220:8889/udp/239.76.253.160:9000
CCTV-10科教,http://120.238.94.82:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://112.92.129.95:9898/hls/28/index.m3u8
CCTV-10科教,http://120.198.95.220:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://120.198.95.220:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-10科教,http://120.198.84.146:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://118.248.155.220:8889/udp/239.76.246.160:1234
CCTV-10科教,http://112.66.103.105:8888/rtp/239.253.64.87:5140
CCTV-10科教,http://221.232.196.180:7777/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://113.90.154.189:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://183.51.190.123:6633/rtp/239.77.0.40:5146
CCTV-11戏曲,http://183.236.43.98:4013/udp/239.77.1.238:5146
CCTV-11戏曲,http://183.51.190.123:6633/rtp/239.77.1.238:5146
CCTV-11戏曲,http://183.57.249.125:8183/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://183.51.190.156:6633/rtp/239.77.0.100:5146
CCTV-11戏曲,http://183.51.190.123:6633/rtp/239.77.1.108:5146
CCTV-11戏曲,http://183.51.190.123:6633/rtp/239.77.0.100:5146
CCTV-11戏曲,http://120.196.235.42:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://118.248.155.220:8889/udp/239.76.245.251:1234
CCTV-11戏曲,http://112.92.129.95:9898/hls/29/index.m3u8
CCTV-11戏曲,http://120.198.95.220:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://120.198.84.146:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://112.66.103.105:8888/rtp/239.253.64.70:5140
CCTV-11戏曲,http://124.228.160.112:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://221.232.196.180:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV-11戏曲,http://171.213.155.146:8188/udp/239.94.0.36:5140
CCTV-11戏曲,http://36.4.85.115:4022/rtp/238.1.78.206:7502
CCTV-11戏曲,http://106.59.2.196:55555/rtp/239.200.201.125:8480
 CCTV-12社会与法,http://14.145.143.181:14022/rtp/239.77.0.136:5146
 CCTV-12社会与法,http://183.51.190.156:6633/rtp/239.77.0.102:5146
 CCTV-12社会与法,http://183.51.190.123:6633/rtp/239.77.1.109:5146
 CCTV-12社会与法,http://183.57.249.125:8183/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV-12社会与法,http://183.236.43.98:4013/udp/239.77.0.136:5146
 CCTV-12社会与法,http://113.90.154.189:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV-12社会与法,http://14.157.24.38:2345/rtp/239.77.0.136:5146
 CCTV-12社会与法,http://183.51.190.156:6633/rtp/239.77.0.41:5146
 CCTV-12社会与法,http://183.51.190.156:6633/rtp/239.77.0.136:5146
 CCTV-12社会与法,http://183.51.190.123:6633/rtp/239.77.0.136:5146
 CCTV-12社会与法,http://183.51.190.123:6633/rtp/239.77.0.41:5146
 CCTV-12社会与法,http://14.157.24.38:2345/rtp/239.77.0.102:5146
 CCTV-12社会与法,http://183.51.190.123:6633/rtp/239.77.0.102:5146
 CCTV-12社会与法,http://118.248.155.220:8889/udp/239.76.246.162:1234
 CCTV-12社会与法,http://120.198.84.146:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV-12社会与法,http://183.237.95.108:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV-12社会与法,http://112.66.103.105:8888/rtp/239.253.64.97:5140
 CCTV-12社会与法,http://112.92.129.95:9898/hls/30/index.m3u8
 CCTV-12社会与法,http://120.238.94.82:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
 CCTV-12社会与法,http://120.196.235.42:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://183.51.190.156:6633/rtp/239.77.0.42:5146
CCTV-13新闻,http://14.145.143.181:14022/rtp/239.77.0.188:5146
CCTV-13新闻,http://183.51.190.123:6633/rtp/239.77.0.42:5146
CCTV-13新闻,http://14.157.24.38:2345/rtp/239.253.43.196:5146
CCTV-13新闻,http://14.157.24.38:2345/rtp/239.77.0.188:5146
CCTV-13新闻,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-13新闻,http://14.145.143.181:14022/rtp/239.77.0.42:5146
