# Playlist Version: v20260905031111
# Generated At: 2026-09-05 03:11:11

央视频道,#genre
CCTV-1综合,http://14.157.24.117:2345/rtp/239.77.0.86:5146
CCTV-1综合,http://14.145.187.131:4022/rtp/239.77.1.17:5146
CCTV-1综合,http://14.145.143.181:14022/rtp/239.77.1.17:5146
CCTV-1综合,http://14.145.187.131:4022/rtp/239.77.0.30:5146
CCTV-1综合,http://14.145.187.131:4022/rtp/239.77.0.86:5146
CCTV-1综合,http://14.145.187.131:4022/rtp/239.77.1.144:5146
CCTV-1综合,http://14.157.24.117:2345/rtp/239.77.0.129:5146
CCTV-1综合,http://14.112.67.22:3861/rtp/239.77.1.144:5146
CCTV-1综合,http://14.157.24.117:2345/rtp/239.77.1.17:5146
CCTV-1综合,http://183.62.8.58:50085/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,rtsp://183.59.56.116:554/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil?0&accountinfo=%7E%7EV2.0%7Ew08QX--mxmtiRia3ZBMEZA%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-2财经,rtsp://183.59.56.116:554/PLTV/88888888/224/3221229763/10000100000000060000000008839684_0.smil?0&accountinfo=%7E%7EV2.0%7Eyrbxm7qu5XPuYvuNLEODpA%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
